config,seed,t,P,theta,cap,score,adopted
small-4-3,10,350,1.80,0.40,2,27.1,0
small-4-3,10,350,1.30,0.40,2,27.1,0
small-4-3,10,350,1.50,0.50,2,27.1,0
small-4-3,10,350,1.50,0.40,2,27.1,1
small-4-3,10,400,1.50,0.33,2,11.0,0
small-4-3,10,400,1.50,0.40,1,11.0,0
small-4-3,10,400,1.50,0.40,3,11.0,0
small-4-3,10,400,1.50,0.40,2,11.0,1
small-4-3,10,450,1.80,0.40,2,0.0,0
small-4-3,10,450,1.30,0.40,2,0.0,0
small-4-3,10,450,1.50,0.50,2,0.0,0
small-4-3,10,450,1.50,0.40,2,0.0,1
small-4-3,11,50,1.80,0.40,2,346.7,0
small-4-3,11,50,1.30,0.40,2,346.7,0
small-4-3,11,50,1.50,0.50,2,346.7,0
small-4-3,11,50,1.50,0.40,2,346.7,1
small-4-3,11,100,1.50,0.33,2,214.2,0
small-4-3,11,100,1.50,0.40,1,214.2,0
small-4-3,11,100,1.50,0.40,3,214.2,0
small-4-3,11,100,1.50,0.40,2,214.2,1
small-4-3,11,150,1.80,0.40,2,237.6,0
small-4-3,11,150,1.30,0.40,2,237.6,0
small-4-3,11,150,1.50,0.50,2,237.6,0
small-4-3,11,150,1.50,0.40,2,237.6,1
small-4-3,11,200,1.50,0.33,2,164.6,0
small-4-3,11,200,1.50,0.40,1,181.6,0
small-4-3,11,200,1.50,0.40,3,164.6,0
small-4-3,11,200,1.50,0.40,1,181.6,1
small-4-3,11,250,1.80,0.40,1,75.9,0
small-4-3,11,250,1.30,0.40,1,78.0,0
small-4-3,11,250,1.50,0.40,1,78.0,1
small-4-3,11,300,1.50,0.50,1,27.5,0
small-4-3,11,300,1.50,0.33,1,27.5,0
small-4-3,11,300,1.50,0.40,1,27.5,1
small-4-3,11,350,1.50,0.40,2,5.4,0
small-4-3,11,350,1.30,0.40,1,5.4,0
small-4-3,11,350,1.50,0.40,1,5.4,1
small-4-3,11,400,1.50,0.50,1,-20.0,0
small-4-3,11,400,1.50,0.33,1,-20.0,0
small-4-3,11,400,1.50,0.40,1,-20.0,1
small-4-3,11,450,1.50,0.40,2,0.0,0
small-4-3,11,450,1.80,0.40,1,0.0,0
small-4-3,11,450,1.50,0.40,1,0.0,1
small-4-3,12,50,1.80,0.40,2,164.7,0
small-4-3,12,50,1.30,0.40,2,164.7,0
small-4-3,12,50,1.50,0.50,2,164.7,0
small-4-3,12,50,1.50,0.40,2,164.7,1
small-4-3,12,100,1.50,0.33,2,279.4,0
small-4-3,12,100,1.50,0.40,1,279.4,0
small-4-3,12,100,1.50,0.40,3,279.4,0
small-4-3,12,100,1.50,0.40,2,279.4,1
small-4-3,12,150,1.80,0.40,2,161.0,0
small-4-3,12,150,1.30,0.40,2,161.0,0
small-4-3,12,150,1.50,0.50,2,161.0,0
small-4-3,12,150,1.50,0.40,2,161.0,1
small-4-3,12,200,1.50,0.33,2,137.5,0
small-4-3,12,200,1.50,0.40,1,137.5,0
small-4-3,12,200,1.50,0.40,3,137.5,0
small-4-3,12,200,1.50,0.40,2,137.5,1
small-4-3,12,250,1.80,0.40,2,137.0,0
small-4-3,12,250,1.30,0.40,2,137.0,0
small-4-3,12,250,1.50,0.50,2,137.0,0
small-4-3,12,250,1.50,0.40,2,137.0,1
small-4-3,12,300,1.50,0.33,2,39.9,0
small-4-3,12,300,1.50,0.40,1,39.9,0
small-4-3,12,300,1.50,0.40,3,39.9,0
small-4-3,12,300,1.50,0.40,2,39.9,1
small-4-3,12,350,1.80,0.40,2,22.8,0
small-4-3,12,350,1.30,0.40,2,22.8,0
small-4-3,12,350,1.50,0.50,2,22.8,0
small-4-3,12,350,1.50,0.40,2,22.8,1
small-4-3,12,400,1.50,0.33,2,2.0,0
small-4-3,12,400,1.50,0.40,1,2.0,0
small-4-3,12,400,1.50,0.40,3,2.0,0
small-4-3,12,400,1.50,0.40,2,2.0,1
small-4-3,12,450,1.80,0.40,2,0.0,0
small-4-3,12,450,1.30,0.40,2,0.0,0
small-4-3,12,450,1.50,0.50,2,0.0,0
small-4-3,12,450,1.50,0.40,2,0.0,1
small-4-3,13,50,1.80,0.40,2,609.6,0
small-4-3,13,50,1.30,0.40,2,609.6,0
small-4-3,13,50,1.50,0.50,2,609.6,0
small-4-3,13,50,1.50,0.40,2,609.6,1
small-4-3,13,100,1.50,0.33,2,232.0,0
small-4-3,13,100,1.50,0.40,1,232.0,0
small-4-3,13,100,1.50,0.40,3,232.0,0
small-4-3,13,100,1.50,0.40,2,232.0,1
small-4-3,13,150,1.80,0.40,2,100.9,0
small-4-3,13,150,1.30,0.40,2,100.9,0
small-4-3,13,150,1.50,0.50,2,100.9,0
small-4-3,13,150,1.50,0.40,2,100.9,1
small-4-3,13,200,1.50,0.33,2,141.3,0
small-4-3,13,200,1.50,0.40,1,141.3,0
small-4-3,13,200,1.50,0.40,3,141.3,0
small-4-3,13,200,1.50,0.40,2,141.3,1
small-4-3,13,250,1.80,0.40,2,120.1,0
small-4-3,13,250,1.30,0.40,2,120.1,0
small-4-3,13,250,1.50,0.50,2,120.1,0
small-4-3,13,250,1.50,0.40,2,120.1,1
small-4-3,13,300,1.50,0.33,2,75.6,0
small-4-3,13,300,1.50,0.40,1,75.6,0
small-4-3,13,300,1.50,0.40,3,75.6,0
small-4-3,13,300,1.50,0.40,2,75.6,1
small-4-3,13,350,1.80,0.40,2,42.3,0
small-4-3,13,350,1.30,0.40,2,42.3,0
small-4-3,13,350,1.50,0.50,2,42.3,0
small-4-3,13,350,1.50,0.40,2,42.3,1
small-4-3,13,400,1.50,0.33,2,23.3,0
small-4-3,13,400,1.50,0.40,1,23.3,0
small-4-3,13,400,1.50,0.40,3,23.3,0
small-4-3,13,400,1.50,0.40,2,23.3,1
small-4-3,13,450,1.80,0.40,2,14.8,0
small-4-3,13,450,1.30,0.40,2,14.8,0
small-4-3,13,450,1.50,0.50,2,14.8,0
small-4-3,13,450,1.50,0.40,2,14.8,1
small-4-3,14,50,1.80,0.40,2,590.3,0
small-4-3,14,50,1.30,0.40,2,590.3,0
small-4-3,14,50,1.50,0.50,2,590.3,0
small-4-3,14,50,1.50,0.40,2,590.3,1
small-4-3,14,100,1.50,0.33,2,603.7,0
small-4-3,14,100,1.50,0.40,1,603.7,0
small-4-3,14,100,1.50,0.40,3,603.7,0
small-4-3,14,100,1.50,0.40,2,603.7,1
small-4-3,14,150,1.80,0.40,2,107.8,0
small-4-3,14,150,1.30,0.40,2,107.8,0
small-4-3,14,150,1.50,0.50,2,107.8,0
small-4-3,14,150,1.50,0.40,2,107.8,1
small-4-3,14,200,1.50,0.33,2,65.1,0
small-4-3,14,200,1.50,0.40,1,65.1,0
small-4-3,14,200,1.50,0.40,3,65.1,0
small-4-3,14,200,1.50,0.40,2,65.1,1
small-4-3,14,250,1.80,0.40,2,97.5,0
small-4-3,14,250,1.30,0.40,2,97.5,0
small-4-3,14,250,1.50,0.50,2,97.5,0
small-4-3,14,250,1.50,0.40,2,97.5,1
small-4-3,14,300,1.50,0.33,2,145.7,0
small-4-3,14,300,1.50,0.40,1,145.7,0
small-4-3,14,300,1.50,0.40,3,145.7,0
small-4-3,14,300,1.50,0.40,2,145.7,1
small-4-3,14,350,1.80,0.40,2,97.0,0
small-4-3,14,350,1.30,0.40,2,97.0,0
small-4-3,14,350,1.50,0.50,2,97.0,0
small-4-3,14,350,1.50,0.40,2,97.0,1
small-4-3,14,400,1.50,0.33,2,53.8,0
small-4-3,14,400,1.50,0.40,1,53.8,0
small-4-3,14,400,1.50,0.40,3,53.8,0
small-4-3,14,400,1.50,0.40,2,53.8,1
small-4-3,14,450,1.80,0.40,2,25.2,0
small-4-3,14,450,1.30,0.40,2,25.2,0
small-4-3,14,450,1.50,0.50,2,25.2,0
small-4-3,14,450,1.50,0.40,2,25.2,1
small-4-3,15,50,1.80,0.40,2,149.7,0
small-4-3,15,50,1.30,0.40,2,149.7,0
small-4-3,15,50,1.50,0.50,2,149.7,0
small-4-3,15,50,1.50,0.40,2,149.7,1
small-4-3,15,100,1.50,0.33,2,217.1,0
small-4-3,15,100,1.50,0.40,1,217.1,0
small-4-3,15,100,1.50,0.40,3,217.1,0
small-4-3,15,100,1.50,0.40,2,217.1,1
small-4-3,15,150,1.80,0.40,2,330.8,0
small-4-3,15,150,1.30,0.40,2,330.8,0
small-4-3,15,150,1.50,0.50,2,330.8,0
small-4-3,15,150,1.50,0.40,2,330.8,1
small-4-3,15,200,1.50,0.33,2,197.9,0
small-4-3,15,200,1.50,0.40,1,197.9,0
small-4-3,15,200,1.50,0.40,3,197.9,0
small-4-3,15,200,1.50,0.40,2,197.9,1
small-4-3,15,250,1.80,0.40,2,163.4,0
small-4-3,15,250,1.30,0.40,2,163.4,0
small-4-3,15,250,1.50,0.50,2,163.4,0
small-4-3,15,250,1.50,0.40,2,163.4,1
small-4-3,15,300,1.50,0.33,2,128.5,0
small-4-3,15,300,1.50,0.40,1,128.5,0
small-4-3,15,300,1.50,0.40,3,128.5,0
small-4-3,15,300,1.50,0.40,2,128.5,1
small-4-3,15,350,1.80,0.40,2,81.6,0
small-4-3,15,350,1.30,0.40,2,81.6,0
small-4-3,15,350,1.50,0.50,2,81.6,0
small-4-3,15,350,1.50,0.40,2,81.6,1
small-4-3,15,400,1.50,0.33,2,38.6,0
small-4-3,15,400,1.50,0.40,1,38.6,0
small-4-3,15,400,1.50,0.40,3,38.6,0
small-4-3,15,400,1.50,0.40,2,38.6,1
small-4-3,15,450,1.80,0.40,2,10.7,0
small-4-3,15,450,1.30,0.40,2,10.7,0
